"PMID","Title","Publication.Year","Authors","ExclusionReason"
32689856,"Extranodal NK/T-cell lymphoma, nasal type, with extranasal presentation - a case report and a review of the literature",2020,"Akbar M, Clasen-Linde E, Specht L.","Not primary"
23387455,"CD56 negative extranodal NK/T-cell lymphoma of the orbit mimicking orbital cellulitis",2013,"Pine RR, Clark JD, Sokol JA.","included"
23969921,"Extranodal nasal NK/T-cell lymphoma: a rare oral presentation and FASN, CD44 and GLUT-1 expression",2013,"Pontes HA, Pontes FS, Silva BS, Fonseca FP, Andrade BA, Rizo VH, Romañach MJ, León JE, Almeida OP.","included"
31267826,"Lymphoproliferative tumors involving the lacrimal drainage system: a major review",2020,"Singh S, Ali MJ.","Not primary"
29978138,"A case of primary extranodal natural killer/T-cell lymphoma in the orbit and intraocular tissues with cerebrospinal fluid involvement",2018,"Okada A, Harada Y, Inoue T, Okikawa Y, Ichinohe T, Kiuchi Y.","included"
31137150,"[Ocular natural killer/T cell lymphoma: a clinicopathologic analysis]",2019,"Bi YW, Wang SY, Qian J, Yuan YF, Li XQ, Zhu XZ.","Not english"
34036312,"Nattokinase Attenuates Retinal Neovascularization Via Modulation of Nrf2/HO-1 and Glial Activation",2021,"Huang Z, Ng TK, Chen W, Sun X, Huang D, Zheng D, Yi J, Xu Y, Zhuang X, Chen S.",NA
33975510,"Natural killer T-cell lymphoma causing bilateral recurrent recalcitrant dacryocystitis",2021,"Mechel E, Tran AQ, North VS, Moen FM, Tooley AA.","included"
3319585,"Cytotoxic mechanisms in autoimmune thyroid disorders and thyroid-associated ophthalmopathy",1987,"Hiromatsu Y, Fukazawa H, Wall JR.","Initial exclusion"
12673566,"Nasal-type NK/T cell lymphoma of the orbit with distant metastases",2003,"Kuwabara H, Tsuji M, Yoshii Y, Kakuno Y, Akioka T, Kotani T, Iwao N, Hanafusa T, Ikeda T, Mori H.","included"
16911982,"Retinoblastoma: expression of HLA-G",2006,"Adithi M, Kandalam M, Ramkumar HL, Subramanian A, Venkatesan N, Krishnakumar S.","Initial exclusion"
28845014,"[A case of nasal NK/T-cell lymphoma]",2017,"Zhan Y, Zhang G, Liu J, Luo S, Lu Q, Xiao R, Zhang G.","Not english"
22321911,"Extranodal NK/T-cell lymphoma, nasal type: report of 15 cases",2012,"Tababi S, Kharrat S, Sellami M, Mamy J, Zainine R, Beltaief N, Sahtout S, Besbes G.","Missing information"
28851203,"[The progress in the diagnosis and management of orbital lymphoma]",2017,"Shi YY, Jia RB, Fan XQ.","Not english"
24398482,"Orbital and central nervous system extension of nasal natural killer/T-cell lymphoma",2014,"Cruz AA, Valera FC, Carenzi L, Chahud F, Barros GE, Elias J Jr.","Missing information"
22681504,"Orbital involvement in extranodal natural killer T cell lymphoma: an atypical case presentation and review of the literature",2012,"Ely A, Evans J, Sundstrom JM, Malysz J, Specht CS, Wilkinson M.","included"
23663138,"NK/T-cell lymphoma of the nasal cavity causing contralateral dacryoadenitis",2013,"Luemsamran P, Pornpanich K, Uiprasertkul M, Sakolsatayadorn N, Vangveeravong S.","included"
14983503,"Major histocompatibility antigens and antigen-processing molecules in retinoblastoma",2004,"Krishnakumar S, Sundaram A, Abhyankar D, Krishnamurthy V, Shanmugam MP, Gopal L, Sharma T, Biswas J.","Initial exclusion"
28194321,"Extranodal natural killer/T-cell lymphoma presenting as orbital cellulitis",2017,"Zuhaimy H, Aziz HA, Vasudevan S, Hui Hui S.","included"
29798121,"[Clinicopathologic analysis of extranodal non-hodgkin lymphoma of the sinonasal cavities: a 15-case report]",2017,"Zhang YH, Duan QC, Zuo Q, Du C, Xie LF, Zhu L.","Not english"
26207490,"Spin Hall Effect in Disordered Organic Solids",2015,"Yu ZG.","Initial exclusion"
10555004,"Sinonasal lymphoma: a clinicopathologic analysis of 58 cases from the Massachusetts General Hospital",1999,"Cuadra-Garcia I, Proulx GM, Wu CL, Wang CC, Pilch BZ, Harris NL, Ferry JA.","Missing information"
29703034,"Usefulness of 18F-FDG PET/CT for evaluating response of ocular adnexal lymphoma to treatment",2018,"Fujii H, Tanaka H, Nomoto Y, Harata N, Oota S, Isogai J, Yoshida K.","Initial exclusion"
24332692,"Orbital involvement by non-Hodgkin lymphoma NK T cells",2014,"Hervás-Ontiveros A, España-Gregori E, Hernández-Martínez P, Vera-Sempere FJ, Díaz-Llopis M.","Different disease"
18346354,"[Abnormal expression of bcl-10 protein in extranodal marginal zone B cell lymphoma of mucosa-associated lymphoid tissue lymphoma type]",2007,"Li BZ, Zhou XY, Ye HT, Yang WT, Fan YZ, Lu HF, Shi DR.","Not english"
24621697,"Extranodal natural killer/T-cell lymphoma, nasal type, of the orbit mimicking recurrent orbital cellulitis",2014,"Kim JW, An JH.","included"
30516405,"Recurrent natural killer/T-cell lymphoma of the lacrimal sac and nasolacrimal duct in a 59-year-old Caucasian woman",2019,"Jones DL, van Landingham SW, Yu JJ, Lucarelli MJ.","Missing information"
12749009,"Clinicopathologic analysis of ocular adnexal lymphomas: extranodal marginal zone b-cell lymphoma constitutes the vast majority of ocular lymphomas among Koreans and affects younger patients",2003,"Cho EY, Han JJ, Ree HJ, Ko YH, Kang YK, Ahn HS, Ahn SD, Park CJ, Huh J.","Initial exclusion"
28146362,"Epiphora as first presenting sign of primary extranodal NK/T-cell lymphoma of the lacrimal sac",2017,"Mikhail M, Michel RP, Chankowsky J, Arthurs B.","included"
24597982,"Extranodal natural killer/T cell lymphomas with extranasal disease in non-endemic regions are disseminated or have nasal primary: a study of 84 cases from India",2014,"Shet T, Suryawanshi P, Epari S, Sengar M, Rangarajan V, Menon H, Laskar S.","Missing information"
22545391,"The simultaneous appearance of a nasal natural killer-cell lymphoma and acute myelogenous leukemia",2012,"Van Crombrugge L, De Vos G, Vanclooster C, Lemmerling M, Kerre T.","included"
16191803,"A rapidly fatal case of T-cell lymphoma presenting as idiopathic orbital inflammation",2005,"Papalkar D, Sharma S, Francis IC, Downie JA, Thanakrishnan G, Hughes LJ.","included"
7531401,"Interleukin-2 receptor beta and CD57 expression in orbital tissues from patients with chronic, stable thyroid-associated ophthalmopathy",1994,"Rosen CE, Rizzuto PR, Kennerdell JS, Burde RM, Wall JR.","Initial exclusion"
18347456,"Third cranial nerve palsy caused by intracranial extension of a sino-orbital natural killer T-cell lymphoma",2008,"Chen CS, Miller NR, Lane A, Eberhart C.","included"
8852033,"[Rapidly progressive T-cell angiocentric lymphoma with CD56+ phenotype involving bilateral orbits and skin in a patient with anti-HTLV-I antibody]",1996,"Kato K, Matsuguchi T, Ishimaru T, Goto H, Nakano Y, Fukumoto T, Takeshita M.","Not english"
